word,mean_attr,std_attr,count,pct_positive
realm,0.09605717,0.034321535,5,100.0
good,0.08134767,0.08199366,11,81.81818181818183
–,0.080647,0.038069926,13,100.0
most,0.07585759,0.07759652,28,85.71428571428571
.,0.07277058,0.07623234,582,86.76975945017182
—,0.06301648,0.042818386,15,100.0
perennial,0.0630125,0.055003967,5,100.0
not,0.060132805,0.062373225,153,88.88888888888889
chapter,0.059546463,0.043015942,9,88.88888888888889
more,0.057910185,0.0522488,25,84.0
i,0.0555774,0.06811987,52,86.53846153846155
intellectual,0.053780902,0.0360695,7,100.0
’,0.053712968,0.034244996,14,100.0
ultimately,0.053509604,0.022913326,5,100.0
merely,0.052283388,0.05514373,24,87.5
perception,0.052036922,0.05568423,5,80.0
perceive,0.048703503,0.030307304,6,100.0
tradition,0.0484718,0.064460896,5,80.0
",",0.048273467,0.075467296,1444,76.66204986149584
need,0.047169622,0.044303346,5,100.0
reason,0.04610275,0.04982049,11,90.9090909090909
strive,0.046048865,0.04521754,5,80.0
than,0.044308852,0.03603748,22,86.36363636363636
here,0.044173144,0.03420853,9,100.0
vital,0.044127148,0.052434202,6,83.33333333333334
beings,0.04242039,0.040910006,6,83.33333333333334
possess,0.04158409,0.046623126,5,100.0
consequence,0.041223846,0.049310848,7,100.0
conception,0.04115945,0.053894117,5,80.0
capacity,0.04103617,0.04636147,10,80.0
purpose,0.04014515,0.05587716,7,100.0
well,0.039497636,0.028883616,7,85.71428571428571
ultimate,0.039232872,0.059013613,8,87.5
notion,0.03872032,0.043274924,5,80.0
metaphysical,0.038719457,0.07435184,8,75.0
spiritual,0.038699143,0.056431305,16,75.0
subtle,0.038102344,0.024537481,5,80.0
new,0.0380354,0.00699362,5,100.0
however,0.03796504,0.061555166,19,68.42105263157895
fleeting,0.037454188,0.03208545,7,100.0
thing,0.03615262,0.04918444,7,85.71428571428571
cash,0.035872858,0.027185468,7,85.71428571428571
furthermore,0.03471879,0.036583617,5,60.0
because,0.034110297,0.06503352,6,83.33333333333334
though,0.03409037,0.05372154,16,87.5
facts,0.03390602,0.053206317,9,77.77777777777779
moral,0.033738967,0.07581938,15,86.66666666666667
divine,0.03326266,0.059043348,30,73.33333333333333
apprehension,0.033093404,0.023701785,10,100.0
view,0.03284721,0.05149964,10,80.0
simply,0.032706615,0.032631572,9,88.88888888888889
profound,0.03270044,0.047285326,13,84.61538461538461
doth,0.032562945,0.042420354,30,93.33333333333333
principles,0.031992666,0.05049368,5,60.0
unique,0.0315676,0.046075854,6,83.33333333333334
minds,0.03112427,0.032943487,7,85.71428571428571
while,0.031024223,0.04442237,10,70.0
abstract,0.03080678,0.027696883,9,88.88888888888889
both,0.030768448,0.06502586,7,57.14285714285714
do,0.030551914,0.053247947,35,88.57142857142857
you,0.030242193,0.06561734,21,80.95238095238095
compass,0.030214127,0.04237753,7,71.42857142857143
truly,0.030061448,0.05546392,8,62.5
ever,0.02933953,0.07672454,11,72.72727272727273
speak,0.02925194,0.027733393,8,87.5
build,0.028160399,0.03927454,6,66.66666666666666
first,0.028143078,0.06333565,11,54.54545454545454
hollow,0.027997496,0.015463997,6,100.0
actively,0.02776992,0.020489467,5,80.0
whether,0.027728394,0.030055182,9,88.88888888888889
instruments,0.026712578,0.01819884,5,80.0
about,0.026637778,0.04704416,10,60.0
part,0.02660439,0.019258395,11,90.9090909090909
dusty,0.026237994,0.023436375,5,100.0
idea,0.02622465,0.022088993,8,75.0
philosopher,0.02605583,0.08697989,7,57.14285714285714
can,0.026045997,0.049817782,29,72.41379310344827
*,0.02559006,0.04826385,78,70.51282051282051
soil,0.02540263,0.030497788,5,60.0
trust,0.024956662,0.0238653,8,87.5
moment,0.024920706,0.05985237,7,71.42857142857143
oracle,0.024477536,0.06302772,8,50.0
distinguish,0.024300816,0.017320193,5,100.0
made,0.024168065,0.07473124,5,40.0
clear,0.023993516,0.034307297,6,83.33333333333334
consequences,0.023764323,0.037974685,15,80.0
much,0.0233859,0.05697289,7,85.71428571428571
towards,0.023247944,0.037750613,11,72.72727272727273
whilst,0.022859998,0.04448957,6,50.0
pure,0.022314485,0.009049179,5,100.0
in,0.02184966,0.06240873,233,64.37768240343348
philosophical,0.021742243,0.066995904,10,60.0
',0.021486582,0.05969199,65,60.0
lens,0.021439116,0.06445161,5,60.0
only,0.021291258,0.03633514,19,63.1578947368421
very,0.020808842,0.037033375,40,72.5
?,0.020687189,0.04700065,56,73.21428571428571
pursuit,0.020659378,0.03505763,7,71.42857142857143
fundamental,0.020261874,0.044846397,10,70.0
heart,0.020219296,0.038577598,9,77.77777777777779
suffering,0.020147255,0.01655708,7,100.0
may,0.020062087,0.04864091,21,71.42857142857143
never,0.019952718,0.04339721,7,57.14285714285714
your,0.019692298,0.047999665,11,54.54545454545454
her,0.01935184,0.02581057,5,80.0
universal,0.019028699,0.035737835,7,71.42857142857143
wherein,0.01885615,0.04760749,5,40.0
on,0.018485129,0.04738805,21,61.904761904761905
deep,0.018201966,0.036338538,7,71.42857142857143
but,0.017975593,0.050079286,131,63.358778625954194
independent,0.0177205,0.027474388,7,57.14285714285714
such,0.01765691,0.05059721,23,60.86956521739131
lived,0.017583512,0.027193356,8,62.5
thee,0.017506462,0.029078163,6,50.0
acquainted,0.017074032,0.06493026,8,75.0
light,0.016624838,0.040269177,21,66.66666666666666
hope,0.016606497,0.021956293,5,80.0
philosophy,0.016574094,0.064710006,69,63.76811594202898
rectitude,0.016567117,0.023286982,7,71.42857142857143
precisely,0.01598003,0.045262914,6,83.33333333333334
beliefs,0.015926711,0.045807276,9,55.55555555555556
attention,0.015897367,0.013230708,5,100.0
for,0.015725892,0.06299123,155,58.70967741935483
other,0.015124806,0.04551679,15,46.666666666666664
believe,0.014772361,0.03233691,8,62.5
virtue,0.014686604,0.029343374,12,66.66666666666666
all,0.0141863115,0.050299346,52,59.61538461538461
justice,0.013889251,0.041502014,5,40.0
it,0.013676827,0.049922913,203,63.05418719211823
eternal,0.013387493,0.032568224,7,71.42857142857143
hypotheses,0.013007793,0.020883834,5,80.0
others,0.012958792,0.036134787,6,83.33333333333334
that,0.012871343,0.050945144,229,61.135371179039296
simple,0.012810574,0.03597331,8,62.5
we,0.012789014,0.0546099,196,58.673469387755105
god,0.0127019035,0.07700978,9,44.44444444444444
cannot,0.012466396,0.06190721,17,41.17647058823529
resides,0.012444589,0.07275618,5,60.0
by,0.012415533,0.04424125,97,61.855670103092784
too,0.012355364,0.05797159,13,46.15384615384615
there,0.012248215,0.048375156,19,57.89473684210527
this,0.012228115,0.05569753,115,61.73913043478261
adversity,0.01199679,0.018591117,5,80.0
acts,0.011733376,0.039359663,7,71.42857142857143
way,0.011725172,0.050777495,11,63.63636363636363
outward,0.011649201,0.044649523,9,55.55555555555556
marketplace,0.01152288,0.021088697,7,57.14285714285714
:,0.011335826,0.04999978,22,50.0
does,0.011264987,0.062050704,32,56.25
ourselves,0.010861497,0.040198162,12,58.333333333333336
practical,0.010493101,0.041336365,24,58.333333333333336
experience,0.010394663,0.04368302,34,67.64705882352942
value,0.010201186,0.03159782,10,60.0
solace,0.010143668,0.013924654,5,60.0
inference,0.010112767,0.047260467,5,40.0
without,0.009809198,0.03794528,13,69.23076923076923
the,0.009540964,0.058997266,1098,56.284153005464475
nor,0.009516197,0.042881295,18,66.66666666666666
rather,0.009433708,0.05335777,31,58.06451612903226
thought,0.009372251,0.023199724,9,77.77777777777779
right,0.009369847,0.028947284,8,75.0
sensory,0.009327493,0.02320232,6,50.0
s,0.009194724,0.0405729,35,54.285714285714285
pragmatic,0.008995459,0.027112236,21,76.19047619047619
who,0.008987268,0.028776389,18,61.111111111111114
concerned,0.008884261,0.037390955,7,57.14285714285714
to,0.008289007,0.055622377,425,56.470588235294116
self,0.008210144,0.040917426,12,66.66666666666666
pre,0.008203997,0.03477592,6,50.0
celestial,0.008199979,0.036200985,5,60.0
when,0.008171367,0.05867866,49,53.06122448979592
consciousness,0.008115382,0.062033836,6,50.0
essence,0.007954406,0.054774266,9,66.66666666666666
goodness,0.007920323,0.035648014,5,80.0
might,0.0076214788,0.05690476,6,50.0
mind,0.0075583085,0.045733523,53,56.60377358490566
place,0.0074702264,0.02389218,5,60.0
correspondence,0.0073444475,0.062907875,6,50.0
demands,0.0071654953,0.04805533,6,50.0
fact,0.0071037165,0.024704551,17,58.82352941176471
religion,0.0070725894,0.035322353,18,38.88888888888889
face,0.007055789,0.06076081,6,66.66666666666666
character,0.006677685,0.024500031,6,66.66666666666666
science,0.006503312,0.05130185,6,50.0
actions,0.006417327,0.03522309,15,60.0
minded,0.0059224945,0.037882924,6,50.0
ask,0.005704387,0.05716575,5,40.0
often,0.0055590444,0.055357873,33,39.39393939393939
source,0.0055324263,0.017435119,5,60.0
ethics,0.005526145,0.05142845,14,57.14285714285714
experiences,0.0054851105,0.041647833,13,53.84615384615385
many,0.0054360083,0.048782352,12,75.0
like,0.0051271347,0.028591385,17,70.58823529411765
even,0.004994523,0.034618396,7,42.857142857142854
if,0.0048952433,0.057358213,51,47.05882352941176
inquiry,0.0048368727,0.04897106,7,28.57142857142857
means,0.0046060244,0.039319213,8,62.5
or,0.004487048,0.04512534,80,50.0
difference,0.0043607014,0.010326805,6,50.0
they,0.004357367,0.065328754,38,50.0
justification,0.0042691394,0.033276994,7,57.14285714285714
reality,0.0042591505,0.037281644,44,52.27272727272727
turn,0.0040168506,0.044925354,12,41.66666666666667
existence,0.0039150673,0.04186526,15,53.333333333333336
whole,0.003665394,0.02294036,6,83.33333333333334
with,0.0036294775,0.05649237,110,48.18181818181818
some,0.0032915415,0.07682433,23,52.17391304347826
pronouncements,0.0031715934,0.022108,8,50.0
something,0.0028635608,0.039598968,9,77.77777777777779
perhaps,0.0028525204,0.04382253,8,37.5
true,0.002615763,0.036872983,54,57.407407407407405
beyond,0.0019920466,0.025495255,5,80.0
order,0.0017404427,0.047193628,11,63.63636363636363
thus,0.0016810406,0.04335398,11,45.45454545454545
discipline,0.0016749911,0.021198276,5,60.0
no,0.0016102262,0.07186306,34,61.76470588235294
seek,0.0015574765,0.050986074,10,60.0
me,0.0015255176,0.038913123,5,60.0
stream,0.0012545115,0.026100261,9,44.44444444444444
general,0.0012375602,0.04780778,36,52.77777777777778
navigate,0.001224998,0.026523758,5,60.0
power,0.0011618882,0.054552045,6,16.666666666666664
understand,0.00089084223,0.035757944,11,45.45454545454545
is,0.00030445252,0.056079526,406,52.95566502463054
sense,0.00016172612,0.047740925,41,60.97560975609756
two,8.168726e-05,0.015470995,8,50.0
know,7.432368e-06,0.026430264,9,44.44444444444444
alone,-4.1340205e-05,0.026754718,6,83.33333333333334
static,-0.000515847,0.023385687,7,28.57142857142857
grand,-0.00066433306,0.061256923,11,72.72727272727273
belief,-0.0010442167,0.04868026,26,57.692307692307686
man,-0.0011333459,0.060004227,37,43.24324324324324
has,-0.0012430886,0.063932836,15,46.666666666666664
human,-0.0013061108,0.03351252,36,50.0
opinion,-0.0013182057,0.018439885,5,80.0
be,-0.0014321174,0.04328455,100,52.0
process,-0.0016085696,0.037222344,6,50.0
universals,-0.0017247637,0.03243729,7,57.14285714285714
logical,-0.0017628353,0.040067945,6,66.66666666666666
substance,-0.0019355761,0.024586935,7,57.14285714285714
from,-0.0020327365,0.07081207,86,50.0
what,-0.0021121318,0.036174394,68,44.11764705882353
of,-0.0021147279,0.052100066,810,46.04938271604938
systems,-0.002172702,0.051909108,11,54.54545454545454
immutable,-0.0021862595,0.03455807,7,57.14285714285714
have,-0.0022358105,0.055507597,41,56.09756097560976
mere,-0.0026319087,0.04540896,15,40.0
immediate,-0.002644293,0.055982303,11,45.45454545454545
soul,-0.002737748,0.05505089,31,51.61290322580645
body,-0.0028261233,0.028579343,8,37.5
scientific,-0.0028566963,0.05638364,7,71.42857142857143
every,-0.0029945034,0.051895615,15,40.0
will,-0.003141819,0.1058466,17,64.70588235294117
humanity,-0.0031698972,0.057208296,5,40.0
a,-0.0033365972,0.05611315,527,47.6280834914611
method,-0.0033423225,0.018143179,5,40.0
find,-0.0035263305,0.0352361,18,44.44444444444444
must,-0.0037217839,0.05029974,41,53.65853658536586
my,-0.0037921693,0.0525922,15,40.0
individual,-0.0038116938,0.02299161,13,46.15384615384615
personal,-0.0038320222,0.0152399745,5,40.0
life,-0.0041721584,0.04744401,34,52.94117647058824
-,-0.004203296,0.050060462,76,36.84210526315789
"""",-0.0042402525,0.062454175,181,51.38121546961326
sun,-0.004288579,0.019313483,7,28.57142857142857
he,-0.0044007,0.06807674,36,52.77777777777778
absolute,-0.0047218553,0.030865496,9,44.44444444444444
matter,-0.005187294,0.036881767,15,33.33333333333333
idols,-0.005271169,0.052593283,6,33.33333333333333
which,-0.005432235,0.068331264,104,46.15384615384615
men,-0.005456475,0.020324195,8,50.0
us,-0.005484964,0.040982753,63,38.095238095238095
religious,-0.005618175,0.03435504,6,33.33333333333333
same,-0.00574314,0.05916868,9,44.44444444444444
mean,-0.0058962307,0.019233221,6,33.33333333333333
and,-0.006269386,0.06496224,369,41.19241192411924
external,-0.00630529,0.03071456,16,43.75
socrates,-0.006457378,0.010178177,5,40.0
faith,-0.0065564946,0.055627685,5,80.0
question,-0.006622164,0.049327098,8,25.0
now,-0.0067315996,0.043214306,8,37.5
make,-0.0070448737,0.03149941,11,54.54545454545454
always,-0.007105367,0.0331344,6,33.33333333333333
shall,-0.0071286275,0.020898959,6,16.666666666666664
live,-0.007514395,0.02171315,10,40.0
through,-0.00776732,0.05004612,22,45.45454545454545
also,-0.007962342,0.05552401,8,62.5
questions,-0.007990236,0.05073002,5,60.0
indeed,-0.008301232,0.03594775,12,41.66666666666667
things,-0.008317353,0.02436542,15,46.666666666666664
own,-0.0083864955,0.033674773,49,36.734693877551024
ancient,-0.008473105,0.056912724,5,40.0
provides,-0.00866519,0.03318441,5,60.0
are,-0.00886082,0.04816372,100,46.0
problems,-0.009219249,0.02144788,6,50.0
utility,-0.009243887,0.015344368,6,50.0
being,-0.0092909625,0.032625474,33,36.36363636363637
conduct,-0.009610584,0.043050367,19,42.10526315789473
limits,-0.00992209,0.032028604,5,60.0
action,-0.010052827,0.065784305,12,58.333333333333336
